Type,Subtype,Replicate,ID,OverallSurvivalDays,status
AS,AS3,1,AS3_1,1,1
AS,AS3,2,AS3_2,2,1
AS,AS3,3,AS3_3,2,1
AS,AS3,4,AS3_4,2,1
AS,AS3,5,AS3_5,2,1
AS,AS3,6,AS3_6,2,1
AS,AS3,7,AS3_7,2,1
AS,AS3,8,AS3_8,3,1
AS,AS3,9,AS3_9,3,1
AS,AS3,10,AS3_10,3,1
AS,AS3,11,AS3_11,3,1
AS,AS3,12,AS3_12,3,1
AS,AS3,13,AS3_13,3,1
AS,AS3,14,AS3_14,3,1
AS,AS3,15,AS3_15,3,1
AS,AS3,16,AS3_16,4,1
AS,AS3,17,AS3_17,4,1
AS,AS3,18,AS3_18,4,1
AS,AS3,19,AS3_19,6,0
AS,AS3,20,AS3_20,7,1
AS,AS4,1,AS4_1,1,1
AS,AS4,2,AS4_2,1,1
AS,AS4,3,AS4_3,1,1
AS,AS4,4,AS4_4,1,1
AS,AS4,5,AS4_5,3,1
AS,AS4,6,AS4_6,4,1
AS,AS4,7,AS4_7,4,1
AS,AS4,8,AS4_8,4,1
AS,AS4,9,AS4_9,4,1
AS,AS4,10,AS4_10,4,1
AS,AS4,11,AS4_11,5,1
AS,AS4,12,AS4_12,5,1
AS,AS4,13,AS4_13,5,1
AS,AS4,14,AS4_14,5,1
AS,AS4,15,AS4_15,5,1
AS,AS4,16,AS4_16,6,1
AS,AS4,17,AS4_17,7,1
AS,AS4,18,AS4_18,7,0
AS,AS4,19,AS4_19,7,0
AS,AS4,20,AS4_20,7,0
AS,AS5,1,AS5_1,2,1
AS,AS5,2,AS5_2,2,1
AS,AS5,3,AS5_3,2,1
AS,AS5,4,AS5_4,3,1
AS,AS5,5,AS5_5,3,1
AS,AS5,6,AS5_6,4,1
AS,AS5,7,AS5_7,4,1
AS,AS5,8,AS5_8,5,1
AS,AS5,9,AS5_9,5,1
AS,AS5,10,AS5_10,5,1
AS,AS5,11,AS5_11,5,1
AS,AS5,12,AS5_12,5,1
AS,AS5,13,AS5_13,5,1
AS,AS5,14,AS5_14,5,1
AS,AS5,15,AS5_15,6,1
AS,AS5,16,AS5_16,6,1
AS,AS5,17,AS5_17,6,1
AS,AS5,18,AS5_18,7,1
AS,AS5,19,AS5_19,7,0
AS,AS5,20,AS5_20,7,0
AU,AU1,1,AU1_1,1,1
AU,AU1,2,AU1_2,1,1
AU,AU1,3,AU1_3,1,1
AU,AU1,4,AU1_4,1,1
AU,AU1,5,AU1_5,2,1
